model,valid,treatment,control,metric,n_pairs,difference,bootstrap_lo,bootstrap_hi
gemma-standard,False,delegate,monitor,invalid_reuse_accepted,12,0.0,0.0,0.0
gemma-standard,False,delegate,monitor,false_blocks,12,0.0,0.0,0.0
gemma-standard,False,quarantine,queue,any_invalid_reuse,12,-0.3333333333333333,-0.5833333333333334,-0.08333333333333333
gemma-standard,False,quarantine,queue,reported,12,0.0,0.0,0.0
gemma-standard,False,quarantine,queue,final_correct,12,0.0,-0.16666666666666666,0.16666666666666666
gemma-standard,False,quarantine,queue,invalid_reuse_accepted,12,-0.3333333333333333,-0.5833333333333334,-0.08333333333333333
gemma-standard,False,quarantine,queue,false_blocks,12,0.0,0.0,0.0
gemma-standard,True,queue,log,any_invalid_reuse,12,0.0,0.0,0.0
gemma-standard,True,queue,log,reported,12,0.0,0.0,0.0
gemma-standard,True,queue,log,final_correct,12,0.0,-0.4166666666666667,0.4166666666666667
gemma-standard,True,queue,log,invalid_reuse_accepted,12,0.0,0.0,0.0
gemma-standard,True,queue,log,false_blocks,12,0.0,0.0,0.0
gemma-standard,True,monitor,queue,any_invalid_reuse,12,0.0,0.0,0.0
gemma-standard,True,monitor,queue,reported,12,0.0,0.0,0.0
gemma-standard,True,monitor,queue,final_correct,12,0.08333333333333333,-0.3333333333333333,0.4166666666666667
gemma-standard,True,monitor,queue,invalid_reuse_accepted,12,0.0,0.0,0.0
gemma-standard,True,monitor,queue,false_blocks,12,0.0,0.0,0.0
gemma-standard,True,delegate,queue,any_invalid_reuse,12,0.0,0.0,0.0
gemma-standard,True,delegate,queue,reported,12,0.0,0.0,0.0
gemma-standard,True,delegate,queue,final_correct,12,0.25,0.0,0.5
gemma-standard,True,delegate,queue,invalid_reuse_accepted,12,0.0,0.0,0.0
gemma-standard,True,delegate,queue,false_blocks,12,0.0,0.0,0.0
gemma-standard,True,delegate,monitor,any_invalid_reuse,12,0.0,0.0,0.0
gemma-standard,True,delegate,monitor,reported,12,0.0,0.0,0.0
gemma-standard,True,delegate,monitor,final_correct,12,0.16666666666666666,-0.3333333333333333,0.75
gemma-standard,True,delegate,monitor,invalid_reuse_accepted,12,0.0,0.0,0.0
gemma-standard,True,delegate,monitor,false_blocks,12,0.0,0.0,0.0
gemma-standard,True,quarantine,queue,any_invalid_reuse,12,0.0,0.0,0.0
gemma-standard,True,quarantine,queue,reported,12,0.0,0.0,0.0
gemma-standard,True,quarantine,queue,final_correct,12,-0.16666666666666666,-0.5833333333333334,0.16666666666666666
gemma-standard,True,quarantine,queue,invalid_reuse_accepted,12,0.0,0.0,0.0
gemma-standard,True,quarantine,queue,false_blocks,12,0.0,0.0,0.0
